OBJECTID;MUNICIPIO;Estado;Região
1;Lupionópolis ; PR;Sul
2;Águas de Lindóia ; SP;Sudeste
3;Uruará ; PA;Norte
4;São Leopoldo ; RS;Sul
5;Vargem ; SP;Sudeste
6;Tarumã ; SP;Sudeste
7;Canas ; SP;Sudeste
8;Várzea Paulista ; SP;Sudeste
9;Morro Reuter ; RS;Sul
10;São João del Rei ; MG;Sudeste
11;Westfalia ; RS;Sul
12;Sales ; SP;Sudeste
13;Diamantino ; MT;Centro-Oeste
14;Redenção da Serra ; SP;Sudeste
15;Resende ; RJ;Sudeste
16;Vassouras ; RJ;Sudeste
17;Campos dos Goytacazes ; RJ;Sudeste
18;Itaperuna ; RJ;Sudeste
19;Jauru ; MT;Centro-Oeste
20;Barra do Bugres ; MT;Centro-Oeste
21;Campos Novos ; SC;Sul
22;Venturosa ; PE;Nordeste
23;Alagoinha ; PE;Nordeste
24;Guarapuava ; PR;Sul
25;Santa Cruz Cabrália ; BA;Nordeste
26;Porto Seguro ; BA;Nordeste
27;Cristalina ; GO;Centro-Oeste
28;Piratini ; RS;Sul
29;Dom Pedrito ; RS;Sul
30;Morrinhos do Sul ; RS;Sul
31;Balneário Gaivota ; SC;Sul
32;Caçapava do Sul ; RS;Sul
33;São Sepé ; RS;Sul
34;Jaguari ; RS;Sul
35;Manoel Viana ; RS;Sul
36;São Francisco de Assis ; RS;Sul
37;Nova Bréscia ; RS;Sul
38;Jari ; RS;Sul
39;Monte Belo do Sul ; RS;Sul
40;Quevedos ; RS;Sul
41;Sombrio ; SC;Sul
42;Antônio Carlos ; SC;Sul
43;Aporé ; GO;Centro-Oeste
44;Lagoa Vermelha ; RS;Sul
45;Lages ; SC;Sul
46;São Domingos ; SC;Sul
47;Paiçandu ; PR;Sul
48;Planalto Alegre ; SC;Sul
49;Indianópolis ; PR;Sul
50;Galvão ; SC;Sul
51;Tibagi ; PR;Sul
52;Peritiba ; SC;Sul
53;Rio Grande da Serra ; SP;Sudeste
54;Esperança Nova ; PR;Sul
55;São Caetano do Sul ; SP;Sudeste
56;Terra Boa ; PR;Sul
57;Jandira ; SP;Sudeste
58;Taguaí ; SP;Sudeste
59;Salto ; SP;Sudeste
60;Jacareí ; SP;Sudeste
61;Jataizinho ; PR;Sul
62;Louveira ; SP;Sudeste
63;Canitar ; SP;Sudeste
64;Arraial do Cabo ; RJ;Sudeste
65;Maricá ; RJ;Sudeste
66;Tanguá ; RJ;Sudeste
67;Santo Inácio ; PR;Sul
68;Ribeirão do Sul ; SP;Sudeste
69;Lindóia ; SP;Sudeste
70;Guapimirim ; RJ;Sudeste
71;Novo Gama ; GO;Centro-Oeste
72;Senador Salgado Filho ; RS;Sul
73;Silveirânia ; MG;Sudeste
74;São José do Vale do Rio Preto ; RJ;Sudeste
75;Anaurilândia ; MS;Centro-Oeste
76;Bandeira do Sul ; MG;Sudeste
77;Américo Brasiliense ; SP;Sudeste
78;Senador Cortes ; MG;Sudeste
79;Mineiros do Tietê ; SP;Sudeste
80;Timburi ; SP;Sudeste
81;Maracaju ; MS;Centro-Oeste
82;Catiguá ; SP;Sudeste
83;Uniflor ; PR;Sul
84;Iconha ; ES;Sudeste
85;Areiópolis ; SP;Sudeste
86;Sidrolândia ; MS;Centro-Oeste
87;São José dos Campos ; SP;Sudeste
88;Senador Amaral ; MG;Sudeste
89;São Roque de Minas ; MG;Sudeste
90;Santo Antônio do Monte ; MG;Sudeste
91;São Gonçalo do Pará ; MG;Sudeste
92;Igaraçu do Tietê ; SP;Sudeste
93;Moema ; MG;Sudeste
94;Comendador Gomes ; MG;Sudeste
95;Bandeirantes ; MS;Centro-Oeste
96;Leandro Ferreira ; MG;Sudeste
97;Ribas do Rio Pardo ; MS;Centro-Oeste
98;Cachoeira da Prata ; MG;Sudeste
99;Inhaúma ; MG;Sudeste
100;Campos Altos ; MG;Sudeste
101;Passabém ; MG;Sudeste
102;Barbosa ; SP;Sudeste
103;Baldim ; MG;Sudeste
104;Cordisburgo ; MG;Sudeste
105;Rio Paranaíba ; MG;Sudeste
106;Paineiras ; MG;Sudeste
107;Santa Mercedes ; SP;Sudeste
108;Chapadão do Sul ; MS;Centro-Oeste
109;Itamogi ; MG;Sudeste
110;Itarumã ; GO;Centro-Oeste
111;Patos de Minas ; MG;Sudeste
112;Rio Verde de Mato Grosso ; MS;Centro-Oeste
113;Morada Nova de Minas ; MG;Sudeste
114;Quissamã ; RJ;Sudeste
115;Quirinópolis ; GO;Centro-Oeste
116;Morrinhos ; GO;Centro-Oeste
117;Presidente Olegário ; MG;Sudeste
118;Cedro do Abaeté ; MG;Sudeste
119;Bocaiúva ; MG;Sudeste
120;Alto Araguaia ; MT;Centro-Oeste
121;Caiapônia ; GO;Centro-Oeste
122;Vicência ; PE;Nordeste
123;Guaratinga ; BA;Nordeste
124;Barão de Melgaço ; MT;Centro-Oeste
125;Campo Grande ; MS;Centro-Oeste
126;Bastos ; SP;Sudeste
127;Guiratinga ; MT;Centro-Oeste
128;Maiquinique ; BA;Nordeste
129;Mascote ; BA;Nordeste
130;São Brás do Suaçuí ; MG;Sudeste
131;Assunção ; PB;Nordeste
132;Potengi ; CE;Nordeste
133;Flórida ; PR;Sul
134;Indianópolis ; MG;Sudeste
135;Paranã ; TO;Norte
136;Cunhataí ; SC;Sul
137;São José da Vitória ; BA;Nordeste
138;Sabino ; SP;Sudeste
139;Santa Rosa da Serra ; MG;Sudeste
140;Matozinhos ; MG;Sudeste
141;Jaboticatubas ; MG;Sudeste
142;Buerarema ; BA;Nordeste
143;Jussara ; GO;Centro-Oeste
144;Pompéu ; MG;Sudeste
145;Itabuna ; BA;Nordeste
146;Piripá ; BA;Nordeste
147;Novo São Joaquim ; MT;Centro-Oeste
148;Condeúba ; BA;Nordeste
149;Firmino Alves ; BA;Nordeste
150;Presidente Jânio Quadros ; BA;Nordeste
151;Maetinga ; BA;Nordeste
152;Jacaraci ; BA;Nordeste
153;Caculé ; BA;Nordeste
154;Planalto ; BA;Nordeste
155;Guajeru ; BA;Nordeste
156;Carinhanha ; BA;Nordeste
157;Licínio de Almeida ; BA;Nordeste
158;Felixlândia ; MG;Sudeste
159;Anagé ; BA;Nordeste
160;Januária ; MG;Sudeste
161;Rio do Antônio ; BA;Nordeste
162;Planalto da Serra ; MT;Centro-Oeste
163;Alto Paraguai ; MT;Centro-Oeste
164;Araguaiana ; MT;Centro-Oeste
165;Malhada de Pedras ; BA;Nordeste
166;Pontes e Lacerda ; MT;Centro-Oeste
167;Camapuã ; MS;Centro-Oeste
168;Flores de Goiás ; GO;Centro-Oeste
169;Manoel Vitorino ; BA;Nordeste
170;Apuarema ; BA;Nordeste
171;Igrapiúna ; BA;Nordeste
172;Vila Bela da Santíssima Trindade ; MT;Centro-Oeste
173;Jequié ; BA;Nordeste
174;Campinápolis ; MT;Centro-Oeste
175;Nova Nazaré ; MT;Centro-Oeste
176;Caetité ; BA;Nordeste
177;Campinaçu ; GO;Centro-Oeste
178;Poções ; BA;Nordeste
179;Mirante ; BA;Nordeste
180;Malhada ; BA;Nordeste
181;Barra da Estiva ; BA;Nordeste
182;Itaquara ; BA;Nordeste
183;Coribe ; BA;Nordeste
184;Morro do Chapéu ; BA;Nordeste
185;Figueirão ; MS;Centro-Oeste
186;Abaíra ; BA;Nordeste
187;Ubaíra ; BA;Nordeste
188;Laje ; BA;Nordeste
189;Rio do Pires ; BA;Nordeste
190;Jaguaripe ; BA;Nordeste
191;Milagres ; BA;Nordeste
192;Piatã ; BA;Nordeste
193;Salinas da Margarida ; BA;Nordeste
194;Porangatu ; GO;Centro-Oeste
195;Nova Redenção ; BA;Nordeste
196;Andaraí ; BA;Nordeste
197;São Miguel do Araguaia ; GO;Centro-Oeste
198;Ibiquera ; BA;Nordeste
199;Arraias ; TO;Norte
200;Nova Ubiratã ; MT;Centro-Oeste
201;Ipaba ; MG;Sudeste
202;Almadina ; BA;Nordeste
203;Barra do Rocha ; BA;Nordeste
204;Brejo ; MA;Nordeste
205;Nova Maringá ; MT;Centro-Oeste
206;Barra do Mendes ; BA;Nordeste
207;Jataí ; GO;Centro-Oeste
208;Lagoa de Pedras ; RN;Nordeste
209;Euclides da Cunha ; BA;Nordeste
210;São José do Xingu ; MT;Centro-Oeste
211;Lagoa Salgada ; RN;Nordeste
212;Ortigueira ; PR;Sul
213;Pimenta Bueno ; RO;Norte
214;Niterói ; RJ;Sudeste
215;Cláudia ; MT;Centro-Oeste
216;Querência ; MT;Centro-Oeste
217;Nova Santa Helena ; MT;Centro-Oeste
218;Senador Guiomard ; AC;Norte
219;Parauapebas ; PA;Norte
220;Cunha ; SP;Sudeste
221;Goianésia do Pará ; PA;Norte
222;Alta Floresta ; MT;Centro-Oeste
223;Aripuanã ; MT;Centro-Oeste
224;Alto Paraíso ; RO;Norte
225;Sento Sé ; BA;Nordeste
226;Banzaê ; BA;Nordeste
227;Messias ; AL;Nordeste
228;Paranaíta ; MT;Centro-Oeste
229;Santa Rosa do Purus ; AC;Norte
230;Nova Bandeirantes ; MT;Centro-Oeste
231;Mata Grande ; AL;Nordeste
232;Colniza ; MT;Centro-Oeste
233;Manari ; PE;Nordeste
234;Machadinho D'Oeste ; RO;Norte
235;Lajedo ; PE;Nordeste
236;Cachoeirinha ; PE;Nordeste
237;Paulistana ; PI;Nordeste
238;Cedro ; PE;Nordeste
239;Ibirapitanga ; BA;Nordeste
240;Tavares ; PB;Nordeste
241;Cumaru do Norte ; PA;Norte
242;Abaiara ; CE;Nordeste
243;Aroeiras do Itaim ; PI;Nordeste
244;Monsenhor Hipólito ; PI;Nordeste
245;São Benedito do Sul ; PE;Nordeste
246;Belém ; PB;Nordeste
247;Boca da Mata ; AL;Nordeste
248;Ipixuna ; AM;Norte
249;Lagoa de Dentro ; PB;Nordeste
250;Cacimba de Areia ; PB;Nordeste
251;Francisco Ayres ; PI;Nordeste
252;Riachão ; PB;Nordeste
253;Jericó ; PB;Nordeste
254;Novo Progresso ; PA;Norte
255;Goianinha ; RN;Nordeste
256;Formosa da Serra Negra ; MA;Nordeste
257;São Gonçalo do Piauí ; PI;Nordeste
258;Água Nova ; RN;Nordeste
259;Ubatã ; BA;Nordeste
260;Encanto ; RN;Nordeste
261;Bom Jesus ; RN;Nordeste
262;Canutama ; AM;Norte
263;Boa Vista do Sul ; RS;Sul
264;Cerro Corá ; RN;Nordeste
265;São Pedro ; RN;Nordeste
266;Pedra Grande ; RN;Nordeste
267;Sapucaia do Sul ; RS;Sul
268;Pau dos Ferros ; RN;Nordeste
269;São João da Canabrava ; PI;Nordeste
270;Axixá do Tocantins ; TO;Norte
271;Galinhos ; RN;Nordeste
272;Madeiro ; PI;Nordeste
273;Arame ; MA;Nordeste
274;Miranda do Norte ; MA;Nordeste
275;Água Branca ; PI;Nordeste
276;Bocaina ; PI;Nordeste
277;Pilõezinhos ; PB;Nordeste
278;Chorozinho ; CE;Nordeste
279;Livramento ; PB;Nordeste
280;Atalaia do Norte ; AM;Norte
281;Nova Boa Vista ; RS;Sul
282;Duas Estradas ; PB;Nordeste
283;Graça ; CE;Nordeste
284;Santo Antônio de Lisboa ; PI;Nordeste
285;São João do Arraial ; PI;Nordeste
286;Itaiçaba ; CE;Nordeste
287;Sobral ; CE;Nordeste
288;São João do Carú ; MA;Nordeste
289;Pacajá ; PA;Norte
290;Mojuí dos Campos ; PA;Norte
291;Puxinanã ; PB;Nordeste
292;Quatiguá ; PR;Sul
293;Santarém ; PA;Norte
294;Portel ; PA;Norte
295;Manaus ; AM;Norte
296;Oeiras do Pará ; PA;Norte
297;Santa Amélia ; PR;Sul
298;Campo do Meio ; MG;Sudeste
299;Matinhas ; PB;Nordeste
300;Maraã ; AM;Norte
301;São Sebastião do Uatumã ; AM;Norte
302;Melgaço ; PA;Norte
303;Rorainópolis ; RR;Norte
304;Macapá ; AP;Norte
305;Bonfim ; RR;Norte
306;Urucará ; AM;Norte
307;Ferreira Gomes ; AP;Norte
308;Alto Alegre ; RR;Norte
309;Calçoene ; AP;Norte
310;Normandia ; RR;Norte
311;Amajari ; RR;Norte
312;Peixe ; TO;Norte
313;Jaraguari ; MS;Centro-Oeste
314;Abaeté ; MG;Sudeste
315;Carmo do Paranaíba ; MG;Sudeste
316;Varjão de Minas ; MG;Sudeste
317;Curvelo ; MG;Sudeste
318;Ipameri ; GO;Centro-Oeste
319;Mineiros ; GO;Centro-Oeste
320;Primavera do Leste ; MT;Centro-Oeste
321;Crixás ; GO;Centro-Oeste
322;Aruanã ; GO;Centro-Oeste
323;Rondolândia ; MT;Centro-Oeste
324;Santa Luzia do Norte ; AL;Nordeste
325;Cotriguaçu ; MT;Centro-Oeste
326;Apuí ; AM;Norte
327;Eirunepé ; AM;Norte
328;Humaitá ; AM;Norte
329;Seritinga ; MG;Sudeste
330;Balbinos ; SP;Sudeste
331;Sant'Ana do Livramento ; RS;Sul
332;Passa-vinte; MG;Sudeste
333;Vermelho Novo ; MG;Sudeste
334;Rio Grande do Piauí ; PI;Nordeste
335;Sete Lagoas ; MG;Sudeste
336;Monteirópolis ; AL;Nordeste
337;Santo Antônio ; RN;Nordeste
338;Vista Serrana ; PB;Nordeste
339;Arroio do Sal ; RS;Sul
340;Balneário Pinhal ; RS;Sul
341;Dois Irmãos ; RS;Sul
342;Passo de Torres ; SC;Sul
343;Treze de Maio ; SC;Sul
344;Taboão da Serra ; SP;Sudeste
345;Vargem Grande Paulista ; SP;Sudeste
346;Cruzália ; SP;Sudeste
347;Rio Grande ; RS;Sul
348;Córrego do Bom Jesus ; MG;Sudeste
349;Santa Gertrudes ; SP;Sudeste
350;Taciba ; SP;Sudeste
351;Júlio Mesquita ; SP;Sudeste
352;Santa Lúcia ; SP;Sudeste
353;Barroso ; MG;Sudeste
354;União Paulista ; SP;Sudeste
355;Nova Serrana ; MG;Sudeste
356;Aquidauana ; MS;Centro-Oeste
357;São João do Manteninha ; MG;Sudeste
358;Tiros ; MG;Sudeste
359;Comodoro ; MT;Centro-Oeste
360;Vilhena ; RO;Norte
361;Joaquim Nabuco ; PE;Nordeste
362;Triunfo Potiguar ; RN;Nordeste
363;Pedra Preta ; RN;Nordeste
364;Funilândia ; MG;Sudeste
365;Unaí ; MG;Sudeste
366;Silveira Martins ; RS;Sul
367;Jaborandi ; BA;Nordeste
368;Porto Velho ; RO;Norte
369;Moju ; PA;Norte
370;Arapuá ; MG;Sudeste
371;Marabá ; PA;Norte
372;General Maynard ; SE;Nordeste
373;Campos Lindos ; TO;Norte
374;Muribeca ; SE;Nordeste
375;Nova Alvorada do Sul ; MS;Centro-Oeste
376;Nioaque ; MS;Centro-Oeste
377;Santa Rita do Pardo ; MS;Centro-Oeste
378;Brasilândia ; MS;Centro-Oeste
379;Bonito ; MS;Centro-Oeste
380;Porto Murtinho ; MS;Centro-Oeste
381;Dois Irmãos do Buriti ; MS;Centro-Oeste
382;Montes Claros de Goiás ; GO;Centro-Oeste
383;Buriti ; MA;Nordeste
384;Jardim ; MS;Centro-Oeste
385;Divinópolis ; MG;Sudeste
386;Santa Luzia ; BA;Nordeste
387;Prata ; MG;Sudeste
388;Porto Estrela ; MT;Centro-Oeste
389;Umburanas ; BA;Nordeste
390;Caetanópolis ; MG;Sudeste
391;Caatiba ; BA;Nordeste
392;Faro ; PA;Norte
393;Santo Antônio das Missões ; RS;Sul
394;Estância Velha ; RS;Sul
395;Santana ; BA;Nordeste
396;Dom Pedro de Alcântara ; RS;Sul
397;Vitória da Conquista ; BA;Nordeste
398;São Gabriel ; RS;Sul
